id	sensitivity	specificity
0	-0.012614777310563803	-1.0
1	-1.0	-0.0025365063148438463
2	-0.5102548699905604	-0.8374698349509433
3	-0.5861151634772162	-0.7667911433654506
4	-0.9391572985497297	-0.20328160504482923
5	-0.9419891873337338	-0.18581670218949817
6	-0.5223547584313052	-0.8289883919606842
7	-0.948167853771561	-0.18253157421923166
8	-0.31940272891101	-0.9660037695302179
9	-0.8542864498412426	-0.36282609078578854
10	-0.5773620526902944	-0.7765232248859453
11	-0.8135244143139105	-0.4409293477303553
12	-0.47266798249377845	-0.8650631484384633
13	-0.7007637518235648	-0.6198146941219989
14	-0.6397494207500215	-0.7055538919518768
15	-0.9575216682399382	-0.15034965034965034
16	-0.8674161160216254	-0.33813919078402704
17	-0.9606110014588518	-0.13506896126543483
18	-0.9975113704625418	-0.013510419051980764
19	-0.8935896335707543	-0.28201018125451377
20	-0.33716639491976313	-0.9572845290729421
21	-0.49257701879344373	-0.853692906589632
22	-0.30670213678880975	-0.9692096316781456
23	-0.41740324379987986	-0.915696394285815
24	-0.6442976057667553	-0.6954783252012471
25	-0.39637861494894017	-0.9294446108048123
26	-0.9712520381017764	-0.1054587729650702
27	-0.5394319059469664	-0.8134258688414859
28	-0.6310821247747361	-0.7157879903471843
29	-0.8986527074573071	-0.2735639675186275
30	-0.3844503561314683	-0.9309066248612848
31	-0.7855487857204153	-0.4892814993570661
32	-0.07311421951428816	-0.9989783516231879
33	-0.0863297005063074	-0.9985379859435275
34	-0.5922938299150433	-0.7579309858906836
35	-0.6750193083326183	-0.6571224745028271
36	-0.483309019136703	-0.8600870162583009
37	-0.9543465202093881	-0.16978739144985996
38	-0.9700506307388655	-0.1152877349350901
39	-0.8036557109757144	-0.45681774145250215
40	-0.7751651935124002	-0.5013739409205404
41	-0.2885952115335107	-0.9754364023885435
42	-0.9351240024028147	-0.21158690176322417
43	-0.9679052604479533	-0.12485247749731376
44	-0.267570582682571	-0.9822620704232795
45	-0.6799965674075346	-0.6490021313698896
46	-0.4697502788981378	-0.8728311990276726
47	-0.8898995966703853	-0.289267407655317
48	-0.859092079292886	-0.346867238554896
49	-0.3621385051059813	-0.9445843828715366
50	-0.24869132412254355	-0.983935460005989
51	-0.4371406504762722	-0.8993940568247873
52	-0.7076289367544838	-0.6132268235542795
53	-0.84433193169141	-0.3826073171161332
54	-0.695872307560285	-0.6276884324743267
55	-0.49995709259418175	-0.8452290782265593
56	-0.9879001115592552	-0.051038382272639196
57	-0.761949712520381	-0.530050553980025
58	-0.8547155238994251	-0.3470962287083194
59	-0.2574444349094654	-0.9836888552253792
60	-0.9231099287737063	-0.23505839248912297
61	-0.38041705998455333	-0.9368427542231069
62	-0.6117737921565262	-0.7369431575980694
63	-0.7142366772504934	-0.6028165788871078
64	-0.9313481506908092	-0.21777844321924927
65	-0.21230584398867244	-0.9900036990717092
66	-0.6218999399296319	-0.7278275880290994
67	-0.6642924568780572	-0.6660002466047806
68	-0.18252810435081096	-0.9928220394215357
69	-0.7338882691152493	-0.5770463793133819
70	-0.5729854972968335	-0.7800989942047877
71	-0.40873594782459455	-0.9203466558630287
72	-0.7440144168883549	-0.5585774427084251
73	-0.8504247833176006	-0.36942276866710116
74	-0.7486484167167253	-0.5524387451339592
75	-0.6672959752853342	-0.6592626517059766
76	-0.9773448897279671	-0.09432632858325554
77	-0.06384621985754742	-0.9991544978950521
78	-0.7580022311851026	-0.5370964048545912
79	-0.6006178666437827	-0.7499603670888305
80	-0.612803569896164	-0.7290870338729281
81	-0.8455333390543208	-0.3738616547180779
82	-0.817643525272462	-0.4276214968910183
83	-0.5524757573157127	-0.7989554526078455
84	-0.9122972625075088	-0.25139595920452346
85	-0.34832232043250666	-0.9554085712775889
86	-0.13069595812237192	-0.9959574430607177
87	-0.8301724877713893	-0.40657201740325166
88	-0.3557882090448811	-0.9491994151943774
89	-0.9572642238050287	-0.15764210600482642
90	-0.9782030378443319	-0.07992637085836078
91	-0.8005663777568008	-0.4620580930404608
92	-0.7969621556680683	-0.46869880748973947
93	-0.9866987041963443	-0.05812826971517148
94	-0.8270831545524757	-0.4165418963907629
95	-0.9905603707199863	-0.04102446671716193
96	-0.651076975886038	-0.6860104630885487
97	-0.5049343516690981	-0.8450793538954748
98	-0.44289024285591694	-0.8930087544697116
99	-0.4646013901999485	-0.878908245406986
100	-0.0468548871535227	-0.9993306441669162
101	-0.15815669784604822	-0.9945658875129908
102	-0.7909551188535141	-0.4794525373870462
103	-0.840127005921222	-0.38958270948195384
104	-0.9668754827083155	-0.13439960543235102
105	-0.45747876083412	-0.8857691426960949
106	-0.8869818930747447	-0.29723802645717
107	-0.15575388312022656	-0.9951735921509222
108	-0.2780399897022226	-0.9779024501946416
109	-0.17231614176606883	-0.9939493755614662
110	-0.05397751651935124	-0.9992425710309841
111	-0.9751995194370549	-0.09657219354952352
112	-0.2262078434737836	-0.9876785682831023
113	-0.7108040847850339	-0.6087615155625231
114	-0.5450956835149747	-0.8070846030543763
115	-0.6622329013987814	-0.67423508481443
116	-0.5337681283789583	-0.8195293371615789
117	-0.8252810435081095	-0.41997674869211393
118	-0.9826654080494294	-0.07008860157474767
119	-0.8093194885437226	-0.4481425375631925
120	-0.6827426413799021	-0.6429074703633898
121	-0.6249892731485455	-0.7212309101477867
122	-0.19308332618209903	-0.9923640591146888
123	-0.11018621814125118	-0.9977629423473252
124	-0.928859521153351	-0.22552007186767892
125	-0.5956406075688664	-0.7531221926687922
126	-0.691667381790097	-0.6317309894136091
127	-0.2201149918475929	-0.9884448045657114
128	-0.29554621127606623	-0.9729175107008861
129	-0.20269458508538574	-0.991060576702894
130	-0.7629794902600189	-0.521234433073224
131	-0.5571955719557196	-0.7901657536418242
132	-0.773019823221488	-0.5104542812351377
133	-0.23890843559598388	-0.9863310493033415
134	-0.7513944906890929	-0.5463176621866798
135	-0.09551188535141165	-0.9983089957901041
136	-0.4506993907148374	-0.8891335364887002
137	-0.7277954174890586	-0.5810889362526642
138	-0.985068222775251	-0.06656567613746454
139	-0.7343173431734318	-0.5676753976502087
140	-0.6560542349609543	-0.6746754504940903
141	-0.7686432678280272	-0.5205210406721742
